X,Y,OBJECTID,Injury,Fatality,Year,Weather,Light,RoadSurface,TrafficControl,City,CrashSeverity
-88.245235764126519,40.119112475878254,72,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.223915892176549,40.110578151091062,73,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.232056216370495,40.110307495903463,74,0,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,Property Damage
-88.221465036869773,40.109088285854845,75,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.233576158070647,40.110286063484999,76,1,0,2014,Rain,Darkness,Wet,Traffic Signal,Champaign,B-Injury
-88.24117494701774,40.116349308429392,77,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.222845711237852,40.099245934302395,78,1,0,2014,Clear,Unknown,Dry,No Controls,Urbana,C-Injury
-88.23333575741637,40.098097508474922,79,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.223995757205714,40.112817512215194,80,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.257845820219686,40.116328822397556,81,2,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.241504296312385,40.102707637562744,82,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.195554577394276,40.098387557611332,83,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.17680587262555,40.105747471313862,84,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.190676192586196,40.09476750816151,85,1,0,2014,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,A-Injury
-88.176805782111245,40.105746565030053,86,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.200105986533302,40.10161778980293,87,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.194552477913348,40.110957718856064,88,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.201884814595005,40.112834683225458,89,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.219375741282761,40.115506100612933,90,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.190658140810683,40.093867546554193,91,0,0,2014,Clear,Dusk,Wet,No Controls,Urbana,Property Damage
-88.136505745479354,40.316067388734545,92,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Rantoul,B-Injury
-88.161192515280888,40.288002343487818,93,1,0,2014,Clear,Daylight,Dry,No Controls,Rantoul,B-Injury
-88.150643778742975,40.309571888760054,94,2,0,2014,Clear,Daylight,Dry,No Controls,Rantoul,C-Injury
-88.031314554087913,40.113900385886531,95,1,0,2014,Clear,Daylight,Dry,No Controls,St Joseph,B-Injury
-88.251425758997897,40.054497499829964,96,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Savoy,A-Injury
-88.248065414629735,40.076099689041044,97,1,0,2014,Clear,Dusk,Dry,Traffic Signal,Savoy,B-Injury
-88.15574575477072,40.303617550029387,98,1,0,2012,Clear,Darkness,Dry,Other Regualtory Sig,Rantoul,B-Injury
-88.200162899659489,40.141970533216615,99,1,0,2012,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.295165775231794,40.083953734326236,100,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.219265755471582,40.107087510880142,101,1,0,2012,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.147214738533265,40.310667552608919,102,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Rantoul,B-Injury
-88.240115761879395,40.114607511570014,103,1,0,2012,Clear,Daylight,Dry,Lane Use Marking,Champaign,B-Injury
-88.219475748153457,40.12319886530927,104,1,0,2012,Clear,"Darkness, lighted road",Wet,No Controls,Urbana,B-Injury
-88.228934821235029,40.116407512029959,105,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.248672222705878,40.141840713622457,106,1,0,2012,Rain,"Darkness, lighted road",Wet,Lane Use Marking,Champaign,C-Injury
-88.223841685797694,40.104594698518831,107,1,0,2012,Snow,Daylight,Wet,No Controls,Urbana,C-Injury
-88.224135050492777,40.123137546173879,108,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,A-Injury
-88.25009576529591,40.118277512345408,109,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.261638524763441,39.990216360533097,110,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Tolono,C-Injury
-88.215995521453252,40.107468030319808,111,2,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,A-Injury
-88.17719332027913,40.134407518430343,112,1,0,2012,Clear,Daylight,Wet,No Controls,Unincorporated,B-Injury
-88.230378199650559,40.123117514678285,113,1,0,2012,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.217385297300297,40.116457514274821,114,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,A-Injury
-88.273235738934389,40.141610598628574,115,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,B-Injury
-88.219385966366517,40.112837669391418,116,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
